Provinsi,Ketersediaan,Keterjangkauan,Pemanfaatan,Komposit_Status,Tanggal
Kalimantan Barat,3,3,2,3,2024-10-01
Kalimantan Tengah,2,2,3,2,2024-10-01
Kalimantan Selatan,2,2,2,2,2024-10-01
Kalimantan Timur,2,3,2,2,2024-10-01
Kalimantan Utara,3,2,3,3,2024-10-01
Sulawesi Utara,2,3,3,3,2024-10-01
Sulawesi Tengah,2,3,2,2,2024-10-01
Sulawesi Selatan,3,3,3,3,2024-10-01
Sulawesi Tenggara,2,3,3,3,2024-10-01
Gorontalo,2,2,3,2,2024-10-01
Sulawesi Barat,2,3,1,2,2024-10-01
Maluku,2,3,3,3,2024-10-01
Maluku Utara,3,3,3,3,2024-10-01
Papua,3,2,1,2,2024-10-01
Papua Pegunungan,3,3,3,3,2024-10-01
Papua Selatan,2,1,1,1,2024-10-01
Papua Tengah,2,2,2,2,2024-10-01
Papua Barat,3,3,1,2,2024-10-01
Papua Barat Daya,2,2,1,1,2024-10-01
Aceh,1,3,3,2,2024-11-01
Sumatera Utara,1,3,3,2,2024-11-01
Sumatera Barat,2,3,3,3,2024-11-01
Riau,1,3,3,2,2024-11-01
Jambi,2,2,3,2,2024-11-01
Sumatera Selatan,3,3,3,3,2024-11-01
Bengkulu,3,2,3,3,2024-11-01
Lampung,2,3,3,3,2024-11-01
Bangka Belitung,2,2,3,2,2024-11-01
Kepulauan Riau,2,3,3,3,2024-11-01
DKI Jakarta,2,2,3,2,2024-11-01
Jawa Barat,2,3,3,3,2024-11-01
Jawa Tengah,2,3,2,2,2024-11-01
DI Yogyakarta,2,3,2,2,2024-11-01
Jawa Timur,3,3,3,3,2024-11-01
Banten,2,3,3,3,2024-11-01
Bali,1,3,3,2,2024-11-01
Nusa Tenggara Barat,2,3,2,2,2024-11-01
Nusa Tenggara Timur,3,3,1,2,2024-11-01
Kalimantan Barat,3,3,2,3,2024-11-01
Kalimantan Tengah,2,3,3,3,2024-11-01
Kalimantan Selatan,3,2,2,2,2024-11-01
Kalimantan Timur,2,3,2,2,2024-11-01
Kalimantan Utara,2,2,3,2,2024-11-01
Sulawesi Utara,2,3,3,3,2024-11-01
Sulawesi Tengah,3,3,2,3,2024-11-01
Sulawesi Selatan,2,3,3,3,2024-11-01
Sulawesi Tenggara,2,3,3,3,2024-11-01
Gorontalo,2,2,3,2,2024-11-01
Sulawesi Barat,3,3,1,2,2024-11-01
Maluku,2,3,3,3,2024-11-01
Maluku Utara,3,3,3,3,2024-11-01
Papua,2,2,1,1,2024-11-01
Papua Pegunungan,3,3,1,2,2024-11-01
Papua Selatan,2,2,2,2,2024-11-01
Papua Tengah,2,3,1,2,2024-11-01
Papua Barat,2,2,2,2,2024-11-01
Papua Barat Daya,2,2,2,2,2024-11-01
Aceh,2,3,3,3,2024-12-01
Sumatera Utara,1,3,3,2,2024-12-01
Sumatera Barat,2,3,3,3,2024-12-01
Riau,2,3,3,3,2024-12-01
Jambi,2,2,3,2,2024-12-01
Sumatera Selatan,3,3,3,3,2024-12-01
Bengkulu,2,2,3,2,2024-12-01
Lampung,3,3,3,3,2024-12-01
Bangka Belitung,3,2,3,3,2024-12-01
Kepulauan Riau,2,2,3,2,2024-12-01
DKI Jakarta,2,2,3,2,2024-12-01
Jawa Barat,2,3,3,3,2024-12-01
Jawa Tengah,2,3,2,2,2024-12-01
DI Yogyakarta,3,3,2,3,2024-12-01
Jawa Timur,3,2,3,3,2024-12-01
Banten,2,3,3,3,2024-12-01
Bali,3,3,3,3,2024-12-01
Nusa Tenggara Barat,2,3,2,2,2024-12-01
Nusa Tenggara Timur,2,3,1,2,2024-12-01
Kalimantan Barat,2,3,2,2,2024-12-01
Kalimantan Tengah,2,3,3,3,2024-12-01
Kalimantan Selatan,3,2,2,2,2024-12-01
Kalimantan Timur,2,3,2,2,2024-12-01
Kalimantan Utara,2,3,3,3,2024-12-01
Sulawesi Utara,3,3,3,3,2024-12-01
Sulawesi Tengah,3,3,2,3,2024-12-01
Sulawesi Selatan,2,3,3,3,2024-12-01
Sulawesi Tenggara,3,3,3,3,2024-12-01
Gorontalo,3,3,3,3,2024-12-01
Sulawesi Barat,2,3,1,2,2024-12-01
Maluku,3,3,3,3,2024-12-01
Maluku Utara,2,3,2,2,2024-12-01
Papua,2,2,1,1,2024-12-01
Papua Pegunungan,3,3,3,3,2024-12-01
Papua Selatan,3,2,1,2,2024-12-01
Papua Tengah,2,3,2,2,2024-12-01
Papua Barat,2,2,1,1,2024-12-01
Papua Barat Daya,2,3,1,2,2024-12-01
Aceh,3,2,3,3,2025-01-01
Sumatera Utara,2,2,3,2,2025-01-01
Sumatera Barat,2,3,3,3,2025-01-01
Riau,3,2,3,3,2025-01-01
Jambi,3,2,3,3,2025-01-01
Sumatera Selatan,2,2,3,2,2025-01-01
Bengkulu,3,2,3,3,2025-01-01
Lampung,2,3,3,3,2025-01-01
Bangka Belitung,3,2,3,3,2025-01-01
Kepulauan Riau,2,2,3,2,2025-01-01
DKI Jakarta,3,2,3,3,2025-01-01
Jawa Barat,2,3,3,3,2025-01-01
Jawa Tengah,3,2,2,2,2025-01-01
DI Yogyakarta,2,2,2,2,2025-01-01
Jawa Timur,2,2,3,2,2025-01-01
Banten,3,2,3,3,2025-01-01
Bali,3,3,3,3,2025-01-01
Nusa Tenggara Barat,3,2,2,2,2025-01-01
Nusa Tenggara Timur,3,3,1,2,2025-01-01
Kalimantan Barat,1,3,2,2,2025-01-01
Kalimantan Tengah,2,3,3,3,2025-01-01
Kalimantan Selatan,1,2,2,1,2025-01-01
Kalimantan Timur,3,3,2,3,2025-01-01
Kalimantan Utara,1,2,3,2,2025-01-01
Sulawesi Utara,2,3,3,3,2025-01-01
Sulawesi Tengah,2,2,2,2,2025-01-01
Sulawesi Selatan,2,3,3,3,2025-01-01
Sulawesi Tenggara,3,3,3,3,2025-01-01
Gorontalo,3,2,3,3,2025-01-01
Sulawesi Barat,2,3,1,2,2025-01-01
Maluku,3,3,3,3,2025-01-01
Maluku Utara,2,3,3,3,2025-01-01
Papua,1,3,1,1,2025-01-01
Papua Pegunungan,3,3,3,3,2025-01-01
Papua Selatan,3,2,1,2,2025-01-01
Papua Tengah,2,3,2,2,2025-01-01
Papua Barat,3,2,1,2,2025-01-01
Papua Barat Daya,2,3,1,2,2025-01-01
Aceh,3,2,3,3,2025-02-01
Sumatera Utara,2,2,3,2,2025-02-01
Sumatera Barat,2,2,3,2,2025-02-01
Riau,2,2,3,2,2025-02-01
Jambi,3,2,3,3,2025-02-01
Sumatera Selatan,1,2,3,2,2025-02-01
Bengkulu,2,2,3,2,2025-02-01
Lampung,2,2,3,2,2025-02-01
Bangka Belitung,2,2,3,2,2025-02-01
Kepulauan Riau,2,2,3,2,2025-02-01
DKI Jakarta,2,3,3,3,2025-02-01
Jawa Barat,2,2,3,2,2025-02-01
Jawa Tengah,2,2,2,2,2025-02-01
DI Yogyakarta,1,2,2,1,2025-02-01
Jawa Timur,3,2,3,3,2025-02-01
Banten,2,2,3,2,2025-02-01
Bali,2,2,3,2,2025-02-01
Nusa Tenggara Barat,2,2,1,1,2025-02-01
Nusa Tenggara Timur,3,2,1,2,2025-02-01
Kalimantan Barat,1,2,2,1,2025-02-01
Kalimantan Tengah,2,2,3,2,2025-02-01
Kalimantan Selatan,3,2,2,2,2025-02-01
Kalimantan Timur,2,2,2,2,2025-02-01
Kalimantan Utara,3,2,3,3,2025-02-01
Sulawesi Utara,2,2,3,2,2025-02-01
Sulawesi Tengah,2,2,2,2,2025-02-01
Sulawesi Selatan,3,2,3,3,2025-02-01
Sulawesi Tenggara,3,2,3,3,2025-02-01
Gorontalo,2,2,3,2,2025-02-01
Sulawesi Barat,2,2,1,1,2025-02-01
Maluku,2,2,2,2,2025-02-01
Maluku Utara,2,2,3,2,2025-02-01
Papua,2,2,1,1,2025-02-01
Papua Pegunungan,2,1,3,2,2025-02-01
Papua Selatan,3,3,1,2,2025-02-01
Papua Tengah,2,2,2,2,2025-02-01
Papua Barat,2,2,1,1,2025-02-01
Papua Barat Daya,2,2,1,1,2025-02-01
Aceh,2,2,3,2,2025-03-01
Sumatera Utara,2,2,3,2,2025-03-01
Sumatera Barat,2,2,3,2,2025-03-01
Riau,2,2,3,2,2025-03-01
Jambi,2,2,3,2,2025-03-01
Sumatera Selatan,1,2,3,2,2025-03-01
Bengkulu,2,2,3,2,2025-03-01
Lampung,1,2,3,2,2025-03-01
Bangka Belitung,3,2,3,3,2025-03-01
Kepulauan Riau,3,3,3,3,2025-03-01
DKI Jakarta,2,3,3,3,2025-03-01
Jawa Barat,2,3,3,3,2025-03-01
Jawa Tengah,2,2,2,2,2025-03-01
DI Yogyakarta,2,2,2,2,2025-03-01
Jawa Timur,2,2,3,2,2025-03-01
Banten,2,2,3,2,2025-03-01
Bali,2,3,3,3,2025-03-01
Nusa Tenggara Barat,1,3,1,1,2025-03-01
Nusa Tenggara Timur,3,2,1,2,2025-03-01
Kalimantan Barat,1,3,2,2,2025-03-01
Kalimantan Tengah,2,2,3,2,2025-03-01
Kalimantan Selatan,3,3,2,3,2025-03-01
Kalimantan Timur,2,3,2,2,2025-03-01
Kalimantan Utara,2,2,3,2,2025-03-01
Sulawesi Utara,2,2,3,2,2025-03-01
Sulawesi Tengah,2,3,2,2,2025-03-01
Sulawesi Selatan,1,2,3,2,2025-03-01
Sulawesi Tenggara,2,3,3,3,2025-03-01
Gorontalo,2,3,3,3,2025-03-01
Sulawesi Barat,3,2,1,2,2025-03-01
Maluku,2,3,2,2,2025-03-01
Maluku Utara,2,1,3,2,2025-03-01
Papua,2,3,1,2,2025-03-01
Papua Pegunungan,2,1,3,2,2025-03-01
Papua Selatan,2,3,1,2,2025-03-01
Papua Tengah,2,3,2,2,2025-03-01
Papua Barat,2,2,1,1,2025-03-01
Papua Barat Daya,2,3,1,2,2025-03-01
Aceh,1,2,3,2,2025-04-01
Sumatera Utara,3,3,3,3,2025-04-01
Sumatera Barat,3,1,3,2,2025-04-01
Riau,1,3,3,2,2025-04-01
Jambi,2,3,3,3,2025-04-01
Sumatera Selatan,2,3,3,3,2025-04-01
Bengkulu,2,2,3,2,2025-04-01
Lampung,2,2,3,2,2025-04-01
Bangka Belitung,2,2,3,2,2025-04-01
Kepulauan Riau,3,2,3,3,2025-04-01
DKI Jakarta,2,2,3,2,2025-04-01
Jawa Barat,2,2,3,2,2025-04-01
Jawa Tengah,2,2,2,2,2025-04-01
DI Yogyakarta,3,3,2,3,2025-04-01
Jawa Timur,2,2,3,2,2025-04-01
Banten,2,3,3,3,2025-04-01
Bali,1,3,2,2,2025-04-01
Nusa Tenggara Barat,2,3,1,2,2025-04-01
Nusa Tenggara Timur,3,3,1,2,2025-04-01
Kalimantan Barat,2,2,2,2,2025-04-01
Kalimantan Tengah,2,2,3,2,2025-04-01
Kalimantan Selatan,3,2,2,2,2025-04-01
Kalimantan Timur,2,1,2,1,2025-04-01
Kalimantan Utara,3,2,3,3,2025-04-01
Sulawesi Utara,3,2,3,3,2025-04-01
Sulawesi Tengah,3,2,2,2,2025-04-01
Sulawesi Selatan,2,3,3,3,2025-04-01
Sulawesi Tenggara,2,2,3,2,2025-04-01
Gorontalo,2,2,3,2,2025-04-01
Sulawesi Barat,2,2,1,1,2025-04-01
Maluku,2,1,2,1,2025-04-01
Maluku Utara,3,1,3,2,2025-04-01
Papua,2,2,1,1,2025-04-01
Papua Pegunungan,2,1,3,2,2025-04-01
Papua Selatan,2,3,1,2,2025-04-01
Papua Tengah,2,3,2,2,2025-04-01
Papua Barat,2,1,1,1,2025-04-01
Papua Barat Daya,2,3,1,2,2025-04-01
Aceh,2,3,3,3,2025-05-01
Sumatera Utara,3,2,3,3,2025-05-01
Sumatera Barat,2,3,3,3,2025-05-01
Riau,2,2,3,2,2025-05-01
Jambi,1,2,3,2,2025-05-01
Sumatera Selatan,2,2,3,2,2025-05-01
Bengkulu,2,2,3,2,2025-05-01
Lampung,2,2,3,2,2025-05-01
Bangka Belitung,2,2,3,2,2025-05-01
Kepulauan Riau,2,3,3,3,2025-05-01
DKI Jakarta,2,3,3,3,2025-05-01
Jawa Barat,1,3,3,2,2025-05-01
Jawa Tengah,2,2,2,2,2025-05-01
DI Yogyakarta,2,2,2,2,2025-05-01
Jawa Timur,2,2,3,2,2025-05-01
Banten,3,2,3,3,2025-05-01
Bali,1,3,3,2,2025-05-01
Nusa Tenggara Barat,2,3,2,2,2025-05-01
Nusa Tenggara Timur,2,3,1,2,2025-05-01
Kalimantan Barat,2,3,2,2,2025-05-01
Kalimantan Tengah,2,2,3,2,2025-05-01
Kalimantan Selatan,2,2,2,2,2025-05-01
Kalimantan Timur,2,3,2,2,2025-05-01
Kalimantan Utara,2,2,3,2,2025-05-01
Sulawesi Utara,2,2,3,2,2025-05-01
Sulawesi Tengah,2,2,2,2,2025-05-01
Sulawesi Selatan,1,2,3,2,2025-05-01
Sulawesi Tenggara,2,2,3,2,2025-05-01
Gorontalo,3,3,3,3,2025-05-01
Sulawesi Barat,2,2,1,1,2025-05-01
Maluku,2,3,2,2,2025-05-01
Maluku Utara,2,2,3,2,2025-05-01
Papua,2,3,1,2,2025-05-01
Papua Pegunungan,3,1,3,2,2025-05-01
Papua Selatan,3,3,1,2,2025-05-01
Papua Tengah,2,3,2,2,2025-05-01
Papua Barat,2,2,1,1,2025-05-01
Papua Barat Daya,2,3,1,2,2025-05-01
Aceh,3,3,3,3,2025-06-01
Sumatera Utara,3,2,3,3,2025-06-01
Sumatera Barat,3,3,3,3,2025-06-01
Riau,2,3,3,3,2025-06-01
Jambi,3,2,3,3,2025-06-01
Sumatera Selatan,2,2,3,2,2025-06-01
Bengkulu,2,2,3,2,2025-06-01
Lampung,3,3,3,3,2025-06-01
Bangka Belitung,3,2,3,3,2025-06-01
Kepulauan Riau,2,3,3,3,2025-06-01
DKI Jakarta,2,3,2,3,2025-06-01
Jawa Barat,3,3,3,3,2025-06-01
Jawa Tengah,2,2,2,2,2025-06-01
DI Yogyakarta,3,2,2,2,2025-06-01
Jawa Timur,2,2,3,2,2025-06-01
Banten,3,3,3,3,2025-06-01
Bali,2,3,3,3,2025-06-01
Nusa Tenggara Barat,3,3,1,2,2025-06-01
Nusa Tenggara Timur,2,3,1,2,2025-06-01
Kalimantan Barat,3,3,2,3,2025-06-01
Kalimantan Tengah,2,2,3,2,2025-06-01
Kalimantan Selatan,2,3,2,2,2025-06-01
Kalimantan Timur,3,3,2,3,2025-06-01
Kalimantan Utara,2,2,3,2,2025-06-01
Sulawesi Utara,2,2,3,2,2025-06-01
Sulawesi Tengah,2,2,2,2,2025-06-01
Sulawesi Selatan,2,2,3,2,2025-06-01
Sulawesi Tenggara,3,3,3,3,2025-06-01
Gorontalo,3,3,3,3,2025-06-01
Sulawesi Barat,2,2,1,1,2025-06-01
Maluku,3,3,2,3,2025-06-01
Maluku Utara,2,2,3,2,2025-06-01
Papua,2,3,1,2,2025-06-01
Papua Pegunungan,3,3,2,3,2025-06-01
Papua Selatan,3,3,1,2,2025-06-01
Papua Tengah,3,1,2,2,2025-06-01
Papua Barat,2,3,1,2,2025-06-01
Papua Barat Daya,2,3,1,2,2025-06-01
Aceh,3,2,3,3,2025-07-01
Sumatera Utara,3,2,3,3,2025-07-01
Sumatera Barat,3,3,3,3,2025-07-01
Riau,3,2,3,3,2025-07-01
Jambi,3,2,3,3,2025-07-01
Sumatera Selatan,3,2,3,3,2025-07-01
Bengkulu,3,2,3,3,2025-07-01
Lampung,3,2,3,3,2025-07-01
Bangka Belitung,2,2,3,2,2025-07-01
Kepulauan Riau,2,2,3,2,2025-07-01
DKI Jakarta,2,3,3,3,2025-07-01
Jawa Barat,2,2,3,2,2025-07-01
Jawa Tengah,3,2,2,2,2025-07-01
DI Yogyakarta,2,2,2,2,2025-07-01
Jawa Timur,3,2,3,3,2025-07-01
Banten,2,2,3,2,2025-07-01
Bali,2,3,3,3,2025-07-01
Nusa Tenggara Barat,3,3,2,3,2025-07-01
Nusa Tenggara Timur,2,3,1,2,2025-07-01
Kalimantan Barat,3,2,2,2,2025-07-01
Kalimantan Tengah,2,2,2,2,2025-07-01
Kalimantan Selatan,3,2,2,2,2025-07-01
Kalimantan Timur,2,3,2,2,2025-07-01
Kalimantan Utara,3,2,3,3,2025-07-01
Sulawesi Utara,2,2,3,2,2025-07-01
Sulawesi Tengah,3,1,2,2,2025-07-01
Sulawesi Selatan,3,2,3,3,2025-07-01
Sulawesi Tenggara,3,2,3,3,2025-07-01
Gorontalo,2,3,3,3,2025-07-01
Sulawesi Barat,3,2,1,2,2025-07-01
Maluku,2,2,2,2,2025-07-01
Maluku Utara,2,2,3,2,2025-07-01
Papua,3,2,1,2,2025-07-01
Papua Pegunungan,2,1,2,1,2025-07-01
Papua Selatan,2,1,1,1,2025-07-01
Papua Tengah,2,3,2,2,2025-07-01
Papua Barat,2,2,1,1,2025-07-01
Papua Barat Daya,2,3,1,2,2025-07-01
Aceh,3,1,3,2,2025-08-01
Sumatera Utara,2,2,3,2,2025-08-01
Sumatera Barat,1,3,3,2,2025-08-01
Riau,3,2,3,3,2025-08-01
Jambi,3,2,3,3,2025-08-01
Sumatera Selatan,3,2,3,3,2025-08-01
Bengkulu,2,2,3,2,2025-08-01
Lampung,1,2,3,2,2025-08-01
Bangka Belitung,2,2,3,2,2025-08-01
Kepulauan Riau,3,3,3,3,2025-08-01
DKI Jakarta,3,3,3,3,2025-08-01
Jawa Barat,3,2,3,3,2025-08-01
Jawa Tengah,3,2,3,3,2025-08-01
DI Yogyakarta,3,2,2,2,2025-08-01
Jawa Timur,3,2,3,3,2025-08-01
Banten,2,3,3,3,2025-08-01
Bali,2,3,3,3,2025-08-01
Nusa Tenggara Barat,3,2,2,2,2025-08-01
Nusa Tenggara Timur,3,3,1,2,2025-08-01
Kalimantan Barat,2,3,2,2,2025-08-01
Kalimantan Tengah,2,2,3,2,2025-08-01
Kalimantan Selatan,3,3,2,3,2025-08-01
Kalimantan Timur,1,3,2,2,2025-08-01
Kalimantan Utara,3,2,3,3,2025-08-01
Sulawesi Utara,2,1,3,2,2025-08-01
Sulawesi Tengah,3,2,2,2,2025-08-01
Sulawesi Selatan,3,2,3,3,2025-08-01
Sulawesi Tenggara,3,2,3,3,2025-08-01
Gorontalo,2,2,3,2,2025-08-01
Sulawesi Barat,2,1,1,1,2025-08-01
Maluku,2,1,2,1,2025-08-01
Maluku Utara,2,2,3,2,2025-08-01
Papua,3,3,2,3,2025-08-01
Papua Pegunungan,3,1,2,2,2025-08-01
Papua Selatan,2,3,1,2,2025-08-01
Papua Tengah,2,2,2,2,2025-08-01
Papua Barat,2,2,1,1,2025-08-01
Papua Barat Daya,2,3,1,2,2025-08-01
Aceh,2,1,3,2,2025-09-01
Sumatera Utara,3,2,3,3,2025-09-01
Sumatera Barat,2,3,3,3,2025-09-01
Riau,1,3,3,2,2025-09-01
Jambi,1,3,3,2,2025-09-01
Sumatera Selatan,2,2,3,2,2025-09-01
Bengkulu,2,2,3,2,2025-09-01
Lampung,2,3,3,3,2025-09-01
Bangka Belitung,2,2,3,2,2025-09-01
Kepulauan Riau,2,3,3,3,2025-09-01
DKI Jakarta,2,3,3,3,2025-09-01
Jawa Barat,3,3,3,3,2025-09-01
Jawa Tengah,2,2,3,2,2025-09-01
DI Yogyakarta,2,2,2,2,2025-09-01
Jawa Timur,3,2,3,3,2025-09-01
Banten,2,3,3,3,2025-09-01
Bali,2,3,3,3,2025-09-01
Nusa Tenggara Barat,3,2,2,2,2025-09-01
Nusa Tenggara Timur,3,3,1,2,2025-09-01
Kalimantan Barat,3,2,2,2,2025-09-01
Kalimantan Tengah,2,2,3,2,2025-09-01
Kalimantan Selatan,3,3,2,3,2025-09-01
Kalimantan Timur,1,3,2,2,2025-09-01
Kalimantan Utara,2,2,3,2,2025-09-01
Sulawesi Utara,2,1,3,2,2025-09-01
Sulawesi Tengah,2,1,2,1,2025-09-01
Sulawesi Selatan,2,1,3,2,2025-09-01
Sulawesi Tenggara,2,2,3,2,2025-09-01
Gorontalo,3,2,3,3,2025-09-01
Sulawesi Barat,3,1,1,1,2025-09-01
Maluku,2,1,3,2,2025-09-01
Maluku Utara,3,2,3,3,2025-09-01
Papua,2,3,1,2,2025-09-01
Papua Pegunungan,3,3,2,3,2025-09-01
Papua Selatan,3,3,1,2,2025-09-01
Papua Tengah,2,1,3,2,2025-09-01
Papua Barat,2,3,1,2,2025-09-01
Papua Barat Daya,2,3,1,2,2025-09-01
Aceh,2,2,3,2,2025-10-01
Sumatera Utara,3,2,3,3,2025-10-01
Sumatera Barat,1,2,3,2,2025-10-01
Riau,2,2,3,2,2025-10-01
Jambi,2,2,3,2,2025-10-01
Sumatera Selatan,2,3,3,3,2025-10-01
Bengkulu,2,2,3,2,2025-10-01
Lampung,2,2,3,2,2025-10-01
Bangka Belitung,2,2,3,2,2025-10-01
Kepulauan Riau,2,3,3,3,2025-10-01
DKI Jakarta,2,3,3,3,2025-10-01
Jawa Barat,3,2,3,3,2025-10-01
Jawa Tengah,2,2,3,2,2025-10-01
DI Yogyakarta,1,2,2,1,2025-10-01
Jawa Timur,3,2,3,3,2025-10-01
Banten,3,2,3,3,2025-10-01
Bali,2,3,3,3,2025-10-01
Nusa Tenggara Barat,3,2,2,2,2025-10-01
Nusa Tenggara Timur,3,3,1,2,2025-10-01
Kalimantan Barat,2,2,2,2,2025-10-01
Kalimantan Tengah,2,2,3,2,2025-10-01
Kalimantan Selatan,2,3,2,2,2025-10-01
Kalimantan Timur,2,2,2,2,2025-10-01
Kalimantan Utara,2,2,3,2,2025-10-01
Sulawesi Utara,2,2,3,2,2025-10-01
Sulawesi Tengah,2,2,3,2,2025-10-01
Sulawesi Selatan,2,2,3,2,2025-10-01
Sulawesi Tenggara,3,1,3,2,2025-10-01
Gorontalo,2,2,3,2,2025-10-01
Sulawesi Barat,3,2,1,2,2025-10-01
Maluku,3,2,3,3,2025-10-01
Maluku Utara,2,2,3,2,2025-10-01
Papua,2,3,1,2,2025-10-01
Papua Pegunungan,3,3,2,3,2025-10-01
Papua Selatan,3,3,1,2,2025-10-01
Papua Tengah,2,1,3,2,2025-10-01
Papua Barat,2,3,1,2,2025-10-01
Papua Barat Daya,3,3,1,2,2025-10-01
